R,Ti,TiErr,vTorr,vTorrErr
0.7421543233911115,555.9411884331812,13.02747092710148,18929.88021199177,586.5893146184059
0.7527751826782706,509.7288016241171,11.637146355941997,20557.694478232726,533.3473469953481
0.7645134336715957,590.4197907414159,11.50691448555441,21792.65381368422,510.73715929515146
0.7755405644480841,582.1110806525717,10.240648939503652,22949.32854902164,456.00756267006165
0.7870808148843704,580.8265097110652,10.579544710249518,23970.300458320555,467.0189654815954
0.7984103325957137,634.9043729816752,9.778013102069579,24182.266735854213,421.6461003666906
0.8088100550928565,633.6594587750202,8.72876442080528,25071.358352168143,382.8191513944948
0.8197465087455271,667.5296710783674,7.8984795652723525,27028.428781118753,346.75051555479314
0.8418450940717132,707.1133338348106,7.496737059062679,30223.79192989653,323.8127553765636
0.853515964707998,717.9897454894215,6.604803977602026,30593.77878351277,285.22076099430603
0.8651699368003661,695.119043954679,6.18616072806979,34807.19450188345,269.8884173221321
0.8769226152009318,689.734177876066,5.899799822220918,38239.19609067417,258.3200577947826
0.8891775049061794,712.4556625440794,5.433660761265646,39182.10120127514,237.5530636743382
0.9009108397962446,730.6967043430814,5.358976807900042,43073.34068911084,233.97961145697934
0.9127068386570153,737.3528904445338,5.197574368522208,42868.683331311455,228.80294049704756
0.9239598858102493,740.6390222528144,4.656134963883843,44096.259738924324,206.0375320140812
0.9423429577476361,762.5876326863992,4.655270229915721,45470.90567035242,204.6306518815869
0.9541373644219426,723.2167527978269,4.27852764950021,46475.24869971013,190.0953900633974
0.9653174450990305,728.2376987188446,4.225325692704315,44528.37138813262,188.15784365711454
0.9769999761748961,712.0263519834967,4.398049586074782,44972.3994594334,196.3103294564803
0.988597194027525,721.327344633974,4.471654792950873,42377.86988885378,199.08517108364146
1.000246753608701,703.8653224229854,4.488763104956169,42395.445108415246,201.85854920954884
1.0112762739043275,699.7624347148353,4.587395794817377,38722.13946501646,207.04990240955954
1.0227844001236952,697.3917685483789,4.5949064119229295,35976.092834654715,207.71926162260692
1.0343690323576,661.482067024102,4.820774224897901,32290.684587761043,222.98855546158313
1.0473201730319326,653.9542969462664,4.655791099724679,28101.175212551152,216.0661477484868
1.0586490470184393,0.0,7.258366784587106,0.0,340.04087371829405
1.0704290358606514,0.0,11.762164227267816,0.0,572.9371714035718
1.0806108670287526,0.0,11.258586608562789,0.0,551.8008323548045
1.0927656556458032,0.0,12.419717375267044,0.0,591.6579359498265
1.1038721121645203,0.0,11.02214296205959,0.0,570.2836304370318
1.1143711595441406,0.0,10.94251782716635,0.0,561.1982031397107
1.1297344655927821,427.82640968143005,6.465234944933476,30144.24749893852,344.14860312357155
1.1400749047768275,367.9124769494787,6.5910901013362295,29811.252323902274,357.0070332130908
1.152271083342964,361.09257478768325,5.9112438300819665,31799.945032174513,325.9748396847502
1.1624672086473922,344.3263218278649,5.700648763309791,33673.04030626218,319.2213245212778
1.1735605805766431,360.5191364813088,5.570716570685647,35178.55729419197,310.48270917178894
1.1836155318883492,318.7010615699204,5.457600341876747,35749.52863019848,313.21065317229954
1.1955031897046935,323.9238439477363,5.3282107616859316,34367.13810663088,304.2461717380229
1.2049053253874236,307.4305791166893,5.526514605035744,35845.020635896224,317.96278644891
1.2162444805256225,271.4131418623802,5.429582049555202,34907.77257097989,317.7400526370634
1.226469747234194,261.25127159371806,4.669521971839981,33211.629309462274,277.38787904164207
1.2375109777975644,257.39650253655117,4.458281438453079,31828.119754283427,266.9484087078952
1.248035936860904,275.8264179371336,4.466867423007688,29394.259802531415,267.92804427859005
1.2575417621083635,244.75397387438105,4.605475616695436,29340.424223343733,277.3526344685841
1.2683594859096494,235.54117664995945,4.635352564486041,26990.34968212176,278.1699451370437
1.2782229340701567,215.07974178387747,5.153201075829754,24638.54138951828,310.36976317789134
1.289726166431072,210.40389587510182,5.577691673930351,24130.004455030794,339.19594550910756
1.298903587029898,156.71141348905866,5.895106186443673,23452.93601910502,369.60946283489795
1.3089406159637642,142.9076050416755,5.8675051107570955,21271.53164883423,368.50818102025204
1.31889647279656,112.6848041225857,6.21802004444694,19373.293891389203,390.3473252729887
1.330887210364232,116.68326883037035,5.773843752176625,18438.691687979303,368.90748649156706
1.3406648192991424,120.69839320763857,5.756817567932294,14954.272379126294,367.54738903457184
1.3507835841864602,92.42635796709908,6.610666088670114,19173.35160620157,433.1673934457408
1.3599811585172954,111.52712513048874,7.4516992258028205,17954.724341683046,477.05422230071645
1.3698855259634533,75.1881130456291,6.891614753156968,16058.201566328446,451.8012249616401
1.380624169863249,50.278930512029405,8.091184465752288,18801.853765999786,544.6941899025528
1.3904011751062508,142.7486420282457,8.445609118584462,19338.6124896308,541.3683898388836
1.4000705525858905,73.21555056608298,12.826437109464386,23727.1015716,842.464396885558
1.4100804303653078,-18.99682426877307,15.171656267305586,19988.220295962095,1031.6860231492944
1.4187890849399816,132.72979526215298,18.095351946906288,27009.577072601627,1132.1100250848176
1.428631657476326,6.676590595776707,27.17273215363952,28083.423287146354,1812.697520918713
1.4383862141559756,-100.73535611939255,26.915766954401786,27996.53400908864,1952.6651239270482
1.4488026868522559,-12.935393168942053,19.279154236545462,11181.385444562307,1263.0440988252715
