R,Te,TeErr,ne,neErr,pe,peErr
0.312339999984866,inf,,,,,
0.31171224763981065,inf,,,,,
0.31169657088062724,inf,,,,,
0.31227399307481013,inf,,,,,
0.3134253357890155,inf,,,,,
0.3151312584075238,inf,,,,,
0.31737229675791223,inf,,,,,
0.32012890065080485,inf,,,,,
0.3233814704678114,inf,,,,,
0.32711039264864283,inf,,,,,
0.331296074177986,inf,,,,,
0.33591897606841287,inf,,,,,
0.3409596457704063,inf,,,,,
0.3463987485504802,inf,,,,,
0.35221709790817457,inf,,,,,
0.3583821893528872,inf,,,,,
0.36488768047657905,inf,,,,,
0.37171531658748425,inf,,,,,
0.3788468278893347,inf,,,,,
0.3862642285674793,inf,,,,,
0.3939498409009869,inf,,,,,
0.4018863184008979,inf,,,,,
0.41005666787426615,inf,,,,,
0.41844427047346355,inf,,,,,
0.4270329017344634,inf,,,,,
0.43580675059295204,inf,,,,,
0.4447504373187974,inf,,,,,
0.45384903050454306,inf,,,,,
0.4630880629555336,inf,,,,,
0.4724535465727351,inf,,,,,
0.48193198628400674,inf,,,,,
0.49151039278036146,inf,,,,,
0.50117629439546,inf,,,,,
0.5109177478774429,inf,,,,,
0.5207233481274394,inf,,,,,
0.5305822369233394,inf,,,,,
0.540484110669713,inf,,,,,
0.5504192269991824,inf,,,,,
0.5603784104594135,inf,,,,,
0.5703530571407662,inf,,,,,
0.5803351382371696,inf,,,,,
0.5903172026480128,inf,,,,,
0.6002923784500731,inf,,,,,
0.6102543734885169,inf,,,,,
0.6201974748007664,inf,,,,,
0.6301165471074024,inf,,,,,
0.6400070301916876,inf,,,,,
0.649864935379579,inf,,,,,
0.6594475869265977,inf,,,,,
0.669030136506877,inf,,,,,
0.6785790102216006,inf,,,,,
0.6880944299743431,inf,,,,,
0.6975770250920514,inf,,,,,
0.7070278111127741,inf,,,,,
0.7164481685671669,103.25382585136975,92.79464441035746,4.919779844272549e+17,2.372353850805889e+17,8.127777460281548,7.1587011503116456
0.7258398217660038,inf,,,,,
0.735204817578059,inf,,,,,
0.744545504230659,inf,,,,,
0.7538645100928727,inf,,,,,
0.7631647224770249,inf,,,,,
0.7724492664200565,inf,,,,,
0.7817214835006442,inf,,,,,
0.7909849106270641,inf,,,,,
0.8002432588478336,inf,,,,,
0.8095003921448495,inf,,,,,
0.8187603062553884,inf,,,,,
0.828027107476322,inf,,,,,
0.8373049914680757,inf,,,,,
0.8465982220861913,inf,,,,,
0.8559111101840249,inf,,,,,
0.8652479924294002,inf,,,,,
0.8746132101454588,inf,,,,,
0.8840110881075648,inf,,,,,
0.89344591339549,inf,,,,,
0.902921914197488,inf,,,,,
0.9124432386615735,inf,,,,,
0.9220139337125446,inf,,,,,
0.9316379238948718,inf,,,,,
0.9413189902091808,inf,,,,,
0.9510607489558072,inf,,,,,
0.9608666305595054,inf,,,,,
0.9707398584405781,inf,,,,,
0.9806834278404093,inf,,,,,
0.9907000846751366,inf,,,,,
1.0007923043896993,inf,,,,,
1.0109622708142516,inf,,,,,
1.0212118550109583,inf,,,,,
1.0315425941393883,inf,,,,,
1.0419556703162747,inf,,,,,
1.0524518894642467,inf,,,,,
1.0630316602078245,inf,,,,,
1.0736949727052107,inf,,,,,
1.084441377543248,inf,,,,,
1.0952699645935509,inf,,,,,
1.10617934189139,inf,,,,,
1.1171676145217195,inf,,,,,
1.128232363482836,inf,,,,,
1.1393706245791348,inf,,,,,
1.1505788672930422,inf,,,,,
1.1618529736802607,inf,,,,,
1.1731882172539336,inf,,,,,
1.1845792418714836,inf,,,,,
1.1960200406344712,inf,,,,,
1.20750393478176,inf,,,,,
1.219023552576513,inf,,,,,
1.230570808211277,inf,,,,,
1.2421368807246038,inf,,,,,
1.2537121928811337,inf,,,,,
1.2652863900862137,inf,,,,,
1.2768483193039564,inf,,,,,
1.288386007956935,inf,,,,,
1.2998866428398435,inf,,,,,
1.3113365490438857,inf,,,,,
1.32272116885822,inf,,,,,
1.3340250407160335,inf,,,,,
1.3452317780837195,inf,,,,,
1.3563240484094043,inf,,,,,
1.3672835520468267,inf,,,,,
1.3780910011729823,inf,,,,,
1.3887261256712955,inf,,,,,
1.3991907311535905,inf,,,,,
1.4094384188314435,inf,,,,,
1.4194456336104777,inf,,,,,
1.429187720866641,inf,,,,,
1.4386389051859734,inf,,,,,
1.4477722691481467,inf,,,,,
1.4565597320494708,inf,,,,,
1.464972028700402,inf,,,,,
1.4729786881597247,inf,,,,,
1.4805480124873576,inf,,,,,
