R,Te,TeErr,ne,neErr,pe,peErr
0.5549447445973159,224.60616629755583,14.7564581084981,2.145287664841142e+19,3.8711054584844614e+17,770.9517408086475,34.873571562751735
0.5649839428550385,267.53603309209853,12.064153088914216,2.2738612870154744e+19,3.196012511922744e+17,973.3437256477016,30.465274612758257
0.5750306236401134,278.21007858318,12.997871932881278,2.3550180141977674e+19,3.078044677000024e+17,1048.3035948716245,34.84786587583625
0.5850772876316465,279.14197858663766,9.25821554649608,2.511230028817314e+19,2.975044923422944e+17,1121.5835502883906,27.31611109911033
0.5951170184343156,305.29166355036773,12.002812183199818,2.694512679133895e+19,3.653538298850819e+17,1316.179613232552,37.87675883585686
0.6051434831731972,322.8996149374417,15.148916937718456,2.672838900774438e+19,2.887054027999684e+17,1380.8938429598097,45.6161342623768
0.6151509319139035,364.1600340735301,12.907592406901566,2.5962875524345266e+19,2.982034519650463e+17,1512.7426616947826,39.97677802728646
0.6251341961437197,395.6298953935326,12.499300802182155,2.690681831377426e+19,2.866689381814939e+17,1703.2226743762074,39.439533688183374
0.6350886861341686,421.6330103315336,15.517356228508788,2.9666954474766324e+19,3.2446669811450765e+17,2001.3707716102854,55.894514558985364
0.6450103873982431,421.6098447714691,17.497180302794618,3.0803527695544795e+19,3.6824363161733677e+17,2077.9312848211666,65.5642854325736
0.6546566020467022,458.68201910088777,11.717182439339888,2.9043967883698426e+19,2.8421923208297648e+17,2131.5113330553813,40.49739133707981
0.6643024632410858,455.32310539782213,12.378167112547434,2.8622225963315245e+19,3.0243046468248544e+17,2085.177729442379,41.78509907854363
0.6739143821584205,523.5357334531852,16.546446959268806,2.869358369355736e+19,3.145859470266864e+17,2403.538621505105,55.81694941391765
0.6834925693171285,505.1867704598969,15.404266590293656,2.9776420949468738e+19,3.591576982113888e+17,2406.824629650644,53.71726363866376
0.6930376461413115,559.5687145149765,17.561212706147828,2.8894373701096554e+19,3.3727778501986016e+17,2586.94200778207,59.37271227376744
0.7025506236850712,572.6636551730778,15.30604014688814,2.818677321746483e+19,2.9058786116240186e+17,2582.646492519684,50.51447849673266
0.7120328813443542,631.4697377303421,16.03620784076391,3.063072819395593e+19,3.005651264713531e+17,3094.7804638602797,56.02234999653613
0.7214861455681953,638.3470566622643,19.066227806202352,3.047729630782079e+19,3.174711840913796e+17,3112.814782899375,68.81935141821504
0.730912468553155,627.8490077211083,15.333961348629748,3.102369757964574e+19,3.0883386140466624e+17,3116.511638595252,53.46575345735823
0.7403142069540992,722.7005151970031,17.96689069913335,3.2184849140524605e+19,3.299963696254465e+17,3721.601128863193,66.09046938641436
0.7496940005712658,758.334890070471,21.820000340392916,3.184660489772861e+19,3.5873523960835034e+17,3864.0626598778795,77.9442059045153
