,Te,ne,pe
1.408965542234086,36.94990383298859,1.5675372008278882e+19,98.85921821910085
1.4054491594351672,47.37523561059179,1.9796839981487596e+19,197.46672293943666
1.4019327766362482,55.78964423962201,2.2511626789152678e+19,230.7238451463058
1.3981643268967698,61.8876563877502,2.4279118115575144e+19,254.69648149755847
1.3944800418499657,72.18432072136017,2.3725754495359025e+19,336.5795275095584
1.3837445264713706,122.3738978731538,2.4307923853085577e+19,518.6104020096858
1.3784467521382178,98.50128709858488,2.3314333606238704e+19,373.5023415695004
1.3776345657685427,130.97508580501938,2.4362130163698803e+19,513.1692475733803
1.3722414216409287,157.74638001385776,2.4434750880873083e+19,682.5722196532344
1.3708833750974765,107.33731996666448,2.1703642019304124e+19,458.3244072369937
1.3692612815442877,128.11047266391867,2.3993078976161616e+19,546.2261503202623
1.318873480923889,154.36557607142652,1.988630443636425e+19,493.4269329759903
1.322821081395031,40.92793691614948,7.273503139700185e+18,47.742516590298614
1.299571551804119,86.19598680873106,1.005116818308452e+19,138.7416046521057
1.3171561763584168,61.715045114359384,7.657299749920561e+18,78.28292867602687
1.35663144614293,43.186437072435105,1.0736057203532681e+19,74.76118878464744
1.3659921723452817,40.172556550993484,1.2624428294847013e+19,93.03439306881091
1.3772738896656078,25.996387402907665,1.0593877052691202e+19,55.043188206579316
1.3825682313396948,52.39985776537384,1.72118706222536e+19,182.72306746409504
1.3891818098903934,51.3862203078173,2.068289059769849e+19,174.07126784838968
1.3971097653707005,78.41397595159711,2.178977704203236e+19,276.3687059777587
1.4047466771278285,50.638488934151276,2.0498337287148257e+19,216.1513635889339
1.4072200809968445,44.58706501668019,1.8317619087017443e+19,164.44299571742027
1.3927311343949076,100.80876124282815,2.1285714748292866e+19,343.33291139764
1.4060370177785482,60.87656170557572,2.1088987429704237e+19,245.2192795562575
1.4067283880604267,62.67891914868337,2.227889236503239e+19,275.248101687123
1.4035926976329387,76.79609391714655,2.475195339643581e+19,373.8473088458279
1.4014959591128118,91.21605721829386,2.694713314476846e+19,434.2883411943386
1.4003317830934598,88.47585750800715,2.6629843258250027e+19,401.11278195887735
1.3995828836495512,92.55809864038166,2.7146191840524116e+19,410.6748761545973
