,Te,ne,pe
1.361918686529042,35.376288767635586,6.965296820972195e+18,41.7844331956281
1.3601521244203105,42.2149695445106,6.851429582354816e+18,50.50567973846416
1.365634021105831,48.33073796957504,7.290694683615694e+18,56.79325349079771
1.3579099807265704,65.67615047922882,8.816446798584584e+18,92.65064871682169
1.3501859403473095,83.75815859547164,1.0166455709867336e+19,137.06252095687066
1.3427978574353205,98.68558556919747,1.195922085099446e+19,189.2376834185396
1.341728371542417,110.64145244495354,1.0882400283414026e+19,193.01275116171388
1.3923325128897877,32.693183350946825,6.228198132779786e+18,34.86306076296771
1.3781249062493135,53.47756811296892,7.068066178836985e+18,60.50652060353288
1.3691914833102907,61.02754849983196,9.334389461746647e+18,91.73800751608785
1.381160125630816,36.516379480897406,6.684859586945823e+18,41.462842662887894
1.3618508771559497,77.65902288048683,7.89538630890224e+18,98.50423123282262
1.3775004065042258,34.993156262623174,7.357520309176446e+18,41.51248993533767
1.3744032726656752,48.37777694927628,7.646698654570488e+18,69.47965135667145
1.3613263653181316,99.30386630392162,1.0141111769700712e+19,160.12790025185873
1.387997694190005,23.38849917961258,6.750189342026985e+18,25.488915671923216
1.3885715256162048,25.80387606069591,6.83326935286726e+18,28.412899962897995
1.379687926913411,35.262982268373165,7.618597297393091e+18,45.640301643030234
1.3788502766698167,40.74893281514697,9.144093930903044e+18,60.77309235246721
1.3780126264262222,27.276639475694864,8.615840691166554e+18,38.77363572891042
1.377938124927283,40.619734535078976,1.153062432273799e+19,76.69060190285262
1.3756405654742587,49.02218386282837,1.3241056335273966e+19,136.60833970600208
1.3757344227075061,54.09912324943929,1.5529899531290622e+19,170.42374155248984
1.3752263018651034,59.63166294949711,1.5036447022816571e+19,203.1233781040567
1.3735458613952536,87.99111678557398,1.9111855159726064e+19,357.2007155713039
1.3699393695466404,102.13775911571605,2.094563655424483e+19,394.32776065278176
1.367010360035136,98.80439969880969,2.0753048160088515e+19,332.93939711000155
1.3709731522858375,97.33017292178226,1.7810272033691177e+19,339.6479389342886
1.3659695536182175,103.49771099605522,2.021980815810819e+19,354.8468625361113
1.3680489070390207,104.85611985017908,2.0549956360625816e+19,361.77654820269584
1.3606741292648072,104.83012948134458,2.0795674934740316e+19,441.70148663786745
1.3597348623776062,132.14168326021573,2.4000851196584346e+19,603.8907664087413
1.3624892996795142,131.3772959492631,2.2571386324044714e+19,594.7373235380081
1.3499670982864516,119.62355869312822,2.3208830639573934e+19,528.577936593631
1.3475103185369142,115.8789690722192,2.411313663845517e+19,479.5932073807783
1.3482091207285223,137.8642556186261,2.590143645388155e+19,634.3489707389765
1.3459551541998522,134.52334047635335,2.699512902588443e+19,606.2028927912156
1.3519227307316277,128.13701366911903,2.3663190095875813e+19,569.3610942462999
