t,pohm,pss,psw,pdw_dt,prad_core,psol
0.065,0.0,0.0,0.0,19249.33826872261,182188.31632953353,-201437.65459825614
0.075,1.2691270715220885e-10,0.0,0.0,-13506.91506605301,194201.1850477342,-180694.26998168108
0.08,1143128.0412785378,0.0,0.0,88488.11143912155,197408.82895032418,857231.1008890921
0.085,1380307.146538306,0.0,0.0,-23555.032805988307,198786.8904893022,1205075.2888549922
0.09,1431757.0780536092,0.0,0.0,-221225.83512293626,198554.95409615058,1454427.9590803948
0.095,1016356.6126468033,0.0,0.0,204749.50506593555,196953.843207607,614653.2643732607
0.1,797776.6463657808,0.0,0.0,348765.10040847724,194266.68839157358,254744.85756573
0.105,781937.9847936364,0.0,0.0,139509.60328659392,190794.98178778324,451633.39971925924
0.11,850925.3229529782,0.0,0.0,165573.02606648783,186886.43699346227,498465.8598930281
0.115,920644.2421212157,0.0,0.0,249127.42985958105,182855.15779870647,488661.6544629282
0.12,917062.5471455001,0.0,0.0,217315.55505385107,179031.37301980896,520715.6190718401
0.125,871588.8139409482,-0.0,-0.0,189969.41708461646,175628.96874971694,505990.42810661474
0.13,910272.2918227958,-0.0,-0.0,208239.81675941058,172878.40424731796,529154.0708160673
0.135,997825.1085631592,-0.0,-0.0,171455.85056552273,170937.43942457822,655431.8185730584
0.14,1011723.9293978877,0.0,0.0,128414.90776733911,169857.67193442208,713451.3496961264
0.145,998376.8066358967,0.0,0.0,118470.00746183822,169658.81248500603,710247.9866890524
0.15,1208885.6974731267,0.0,0.0,-682017.2038743359,170306.0142321313,1720596.8871153314
0.155,1320914.8536719116,0.0,0.0,-726761.2439229985,171736.51527738327,1875939.582317527
0.16,1108569.7166788455,0.0,0.0,111764.90053104213,173830.97043194014,822973.8457158632
0.165,1032012.0945269668,0.0,0.0,217599.44034722296,176405.41919171056,638007.2349880333
0.17,892654.0752134304,0.0,0.0,304246.079103451,179306.84272672763,409101.15338325186
0.175,796693.8203764643,0.0,0.0,340305.20637226803,182403.861355424,273984.7526487722
0.18,750499.7757183991,0.0,0.0,225480.89212024343,185506.82403569433,339512.05956246133
0.185,738716.5389300672,0.0,0.0,183740.47041585666,188482.5299558403,366493.5385583702
0.19,760251.4093023379,0.0,0.0,244480.96270477623,191258.81383512146,324511.63276244025
0.195,771774.5646492813,0.0,0.0,196423.46584846865,193715.72250391162,381635.3762969011
0.2,775254.2328361791,1.4663825709249026e-10,7.331912854624513e-11,167746.24419209777,195846.48290495228,411661.50573912926
0.205,757242.2845095204,1320799.9999999967,660399.9999999984,154417.89489112052,197579.125313478,2386445.2643049173
0.21,752546.2002433215,1203200.0000000165,601600.0000000083,181143.73100818982,198972.61083994573,2177229.858395211
0.215,722539.3220562446,1145600.000000019,572800.0000000095,212918.02954033116,200065.2174110878,2027956.0751048543
0.22,573706.5258278949,1122400.0000000137,561200.0000000069,574165.9101558239,200933.45320118102,1482207.1624709107
0.225,489442.0025108314,1105600.0000000005,552800.0000000002,880557.7567224925,201589.28171099696,1065694.9640773428
0.23,499172.77703406685,1071199.999999998,535599.999999999,718532.1377353634,202204.87457629974,1185235.7647224003
0.235,496076.09105693956,1082400.0000000005,541200.0000000002,642954.1296611922,202851.3125931308,1273870.6488026173
0.24,510682.122947561,1087200.0000000005,543600.0000000002,596319.3968195535,203660.36075044711,1341502.3653775612
0.245,529120.2752632493,1089600.0000000007,544800.0000000003,506234.8990153752,204690.92105576536,1452594.4551921098
0.25,502802.63403108204,1058400.0000000005,529200.0000000002,522338.01531158655,206119.60937525297,1361945.0093442432
0.255,501176.68167799583,1076000.0000000005,538000.0000000002,478901.77125577955,208018.06444204418,1428256.8459801727
0.26,506137.4243433293,1080000.0000000005,540000.0000000002,421105.2010598962,210455.70833507192,1494576.5149483618
0.265,471269.83541358134,1086400.0000000005,543200.0000000002,453120.91941392847,213453.79269889754,1434295.123300756
0.27,408798.65926341305,1053600.0000000005,526800.0000000002,435157.3567576719,217099.2255219013,1336942.0769838407
0.275,369419.4238750777,1077600.0000000005,538800.0000000002,405352.38144894235,221417.30653795428,1359049.7358881817
0.28,391059.41739674745,1076000.0000000005,538000.0000000002,351518.6444527349,226333.06118812604,1427207.7117558871
0.285,401447.24389949115,1093599.9999999981,546799.9999999991,316418.5465192278,231862.0510719607,1493566.6463082999
0.29,387596.50146830204,1052000.0000000084,526000.0000000042,375756.82683346653,237939.30713591375,1351900.3674989343
0.295,373999.9599940274,1087999.9999999932,543999.9999999966,379382.28169765987,244559.75122653463,1382057.9270698228
0.3,377037.5024689978,1080800.0000000068,540400.0000000034,355615.6449201711,251614.06057100752,1391007.7969778292
0.305,361955.72110978543,1103199.999999995,551599.9999999976,260590.0675373071,259067.05084861408,1497098.602723857
0.31,285239.3002086666,1063999.9999999898,531999.9999999949,407223.95680054236,266895.55872513395,1207119.784682975
0.315,213239.501119763,1100799.9999999942,550399.9999999971,702485.234366469,275032.97269368306,886921.2940596022
0.32,156525.3044849609,1091199.99999999,545599.999999995,757405.8901719527,283433.2938118301,752486.1205011631
0.325,143478.11116850385,1114399.9999999942,557199.9999999971,702317.3406472339,292067.2722847135,820693.4982365477
0.33,109359.67846701457,1072799.999999995,536399.9999999976,666376.8361308826,300907.54062030703,751275.3017158177
0.335,86898.54957464349,1113599.9999999916,556799.9999999958,658289.6535812903,309902.20276756614,789106.6932257744
0.34,180702.48896294122,1101599.9999999953,550799.9999999977,506951.69573567953,318990.6497011921,1007160.1435260626
0.345,145128.5227980147,1123199.9999999863,561599.9999999931,446545.9317976908,328098.15838338307,1055284.4326169202
0.35,167454.03547228317,1085599.9999999776,542799.9999999888,175529.6579673435,337274.69768325397,1283049.6798216521
