data,t,greenwald_density,greenwald_fraction
,0.015,,
,0.02,,
,0.03,,
,0.04,,
,0.045,,
,0.055,,
,0.06,,
,0.065,,
,0.07,,
9.392636068809906e+18,0.075,7.246579803704856e+19,0.12961474686317354
1.0032557102647833e+19,0.08,7.7758384589394e+19,0.1290221904123281
9.957058382139111e+18,0.085,7.675206176915408e+19,0.1297301747031473
1.0467896937791955e+19,0.09,7.815960952992586e+19,0.13392974965904852
1.0035966255175356e+19,0.095,7.839083663394587e+19,0.1280247371518605
1.0679508819392084e+19,0.1,7.979417107022483e+19,0.13383820742988004
1.1133284874533513e+19,0.105,7.99314944759152e+19,0.13928533361637788
1.1145699708029635e+19,0.11,7.922809254202304e+19,0.14067863241965456
1.0798725290933973e+19,0.115,7.996775034950638e+19,0.13503850294321343
1.1629020475004178e+19,0.12,7.900575130819713e+19,0.14719207503818302
1.1714520149568879e+19,0.125,7.868053165818654e+19,0.14888715038760172
1.1415950852174946e+19,0.13,7.842589941521365e+19,0.14556353114594173
1.1814954600901337e+19,0.135,7.792178132813277e+19,0.15162582784328216
1.2201939737581492e+19,0.14,7.910040148392981e+19,0.1542588850204567
9.105653618932778e+18,0.145,8.19989112833902e+19,0.11104603069013222
9.825455410992882e+18,0.15,7.804963910790355e+19,0.12588726255875698
9.966830824829657e+18,0.155,8.030574002030215e+19,0.12411106382071736
1.0072497018975957e+19,0.16,8.254213063241495e+19,0.12202855610587313
1.0773483753210659e+19,0.165,8.207115710727478e+19,0.13127003606307994
1.1491714736865202e+19,0.17,8.184164312015988e+19,0.140414027611751
1.1381143388318605e+19,0.175,8.065991542552427e+19,0.14110036352352934
1.2106865480417335e+19,0.18,7.974583488944739e+19,0.15181815448043434
1.2589011992178545e+19,0.185,7.885090870388589e+19,0.15965588981929058
1.311876925058979e+19,0.19,7.859564518824244e+19,0.16691470906777797
1.2936487662938317e+19,0.195,7.886017808362026e+19,0.16404334833255094
1.3938208865689498e+19,0.2,7.841935091279192e+19,0.17773940619822026
