data,t,greenwald_density,greenwald_fraction
,0.015,,
,0.04,,
,0.05,,
,0.055,,
,0.06,,
,0.065,,
9.859898978361903e+18,0.07,6.73117152086164e+19,0.14648117267259536
1.0465179502227446e+19,0.075,6.832442745574756e+19,0.1531689308191502
1.0526600738694838e+19,0.08,6.71251959665724e+19,0.15682040978974526
1.0976418259072236e+19,0.085,6.546538510803916e+19,0.1676675122426543
1.1324646392586195e+19,0.09,6.48937889154077e+19,0.1745104821564424
1.1127577914138128e+19,0.095,6.39343153358998e+19,0.17404703336034436
1.0483799051206244e+19,0.1,6.542352617467259e+19,0.16024509322863184
1.063643982208496e+19,0.105,6.22721852226134e+19,0.17080562989818548
1.088258144875501e+19,0.11,6.5957673426462384e+19,0.16499340991595515
1.1212089237838594e+19,0.115,6.657766871161528e+19,0.16840615561960207
1.2053600331712266e+19,0.12,6.753102118258049e+19,0.17848982764711208
1.2355760933577107e+19,0.125,6.8383284125384835e+19,0.1806839360174934
1.2882304242440958e+19,0.13,6.898610836062156e+19,0.1867376570236334
1.2960706629333776e+19,0.135,6.984775595944917e+19,0.1855565214845019
1.3849449248875786e+19,0.14,7.067743731917485e+19,0.19595290624832007
1.385704693084752e+19,0.145,7.1919020837168595e+19,0.19267568954006165
1.4208506633716417e+19,0.15,7.226366847044263e+19,0.19662033404141385
1.4608956704399254e+19,0.155,7.209454319384711e+19,0.2026360950109474
1.50013174497712e+19,0.16,7.104305477014711e+19,0.21115811388328534
1.5178350646962964e+19,0.165,7.129762380013377e+19,0.21288718807111895
1.5721709286206745e+19,0.17,7.101470477976897e+19,0.22138667385808278
1.5745208422392502e+19,0.175,7.037406875033808e+19,0.22373593998452534
1.582563175565748e+19,0.18,6.906781910229714e+19,0.22913177166080712
1.6628097546518192e+19,0.185,6.8928853447505764e+19,0.2412356613356651
1.684474530521092e+19,0.19,6.851571474719311e+19,0.24585228903126932
1.6751666577680691e+19,0.195,6.800101553044376e+19,0.24634435893359627
1.7366515361982722e+19,0.2,6.699948784546934e+19,0.25920370319901015
1.7721646847059704e+19,0.205,6.712001451022209e+19,0.26402924636377684
1.7881080179837219e+19,0.21,6.6423013619095e+19,0.2692000739740126
1.7968876136948623e+19,0.215,6.615721912430072e+19,0.27160869780798175
1.7831874900254808e+19,0.22,6.532257136425899e+19,0.2729818273812083
1.80644299665659e+19,0.225,6.5243462088173e+19,0.2768772439168357
1.8481407830517477e+19,0.23,6.52699501278244e+19,0.2831533928603219
1.860686680226205e+19,0.235,6.476914742968057e+19,0.2872797858341952
1.8740418653579547e+19,0.24,6.446158358318969e+19,0.2907222815802291
1.681300600306316e+19,0.245,6.745157572155459e+19,0.24926038900067468
1.6458236590305616e+19,0.25,6.63925417847285e+19,0.24789285283985485
1.6735057901025372e+19,0.255,6.491709939315899e+19,0.25779121460237214
1.7188845057970774e+19,0.26,6.421587148524687e+19,0.2676728456752282
1.74053401028898e+19,0.265,6.350087992378108e+19,0.2740960459726086
1.7678898436010904e+19,0.27,6.27887635972131e+19,0.2815614995928282
1.781113116108728e+19,0.275,6.258713647511339e+19,0.28458133993986995
1.8255270614034831e+19,0.28,6.2068722276484784e+19,0.29411384582264843
1.8511146076880187e+19,0.285,6.175858748097074e+19,0.2997339614119883
1.8488029167394656e+19,0.29,6.1410989335084474e+19,0.3010540844166523
1.8620028998702645e+19,0.295,6.103811550675182e+19,0.3050557646499254
1.891953805031531e+19,0.3,6.1158823348736295e+19,0.30935091642351287
1.890392395577407e+19,0.305,6.104631138509376e+19,0.309665293886864
1.922193410445772e+19,0.31,6.003903088053698e+19,0.32015730138457227
1.935386904538971e+19,0.315,6.0101508004031545e+19,0.3220196911546957
1.9519176140278972e+19,0.32,5.9982144605053936e+19,0.3254164429898417
1.9890381047400247e+19,0.325,5.879836852108462e+19,0.3382811725510329
2.027349449934446e+19,0.33,5.997894898572745e+19,0.33801016593619754
2.0119129586836062e+19,0.335,5.931902841797442e+19,0.33916822516161965
2.0403790469027287e+19,0.34,6.043807045596153e+19,0.3375983103877315
2.055396613272808e+19,0.345,5.9460240188460564e+19,0.3456758006288206
2.086560873103125e+19,0.35,6.00092219229112e+19,0.34770670344360644
2.0792096373593534e+19,0.355,6.03333951519621e+19,0.3446200287788272
2.085460723700086e+19,0.36,6.095134522365384e+19,0.34215171396918825
2.101485517547177e+19,0.365,6.0488321209004245e+19,0.3474200433313318
2.136640896873124e+19,0.37,6.130383586198486e+19,0.34853298604077676
2.144590706477334e+19,0.375,6.174817912064542e+19,0.3473123802221227
2.15045581240605e+19,0.38,6.25594354546229e+19,0.3437460387515597
2.162510823582021e+19,0.385,6.233836614619775e+19,0.34689886137061043
2.2025214261565395e+19,0.39,6.176355453197774e+19,0.35660535454062897
2.195427626873461e+19,0.395,6.2150882717844775e+19,0.3532415841687007
2.1744114914226913e+19,0.4,6.256931908707527e+19,0.3475204018756618
2.1971776948845126e+19,0.405,6.346381778860563e+19,0.34620950510780596
2.231487533327698e+19,0.41,6.345608230875334e+19,0.35165857269128625
2.250205095427611e+19,0.415,6.332977899011325e+19,0.3553154821176468
2.298252394103685e+19,0.42,6.337645060209786e+19,0.3626350753741342
2.321143368440026e+19,0.425,6.363220958195526e+19,0.3647749125308156
2.376572390813502e+19,0.43,6.364203133773431e+19,0.37342811674277854
2.346643795230118e+19,0.435,6.323626122287332e+19,0.37109148293247113
2.383432410566956e+19,0.44,6.352537936953429e+19,0.3751937311074147
2.419817637945277e+19,0.445,6.375290507419185e+19,0.37956194076634414
2.444487536638675e+19,0.45,6.353547302598509e+19,0.38474373766587283
2.4484030309708743e+19,0.455,6.395605215856426e+19,0.382825854369595
2.4968277797150314e+19,0.46,6.387220736793546e+19,0.3909098937714913
2.5183937581891875e+19,0.465,6.407173084024122e+19,0.39305848697433227
2.542448872558866e+19,0.47,6.427043409926836e+19,0.39558607440428173
2.571493496088867e+19,0.475,6.392383140715648e+19,0.4022746195718456
2.6000065138819027e+19,0.48,6.45470855370758e+19,0.40280773209945486
2.6193964413615063e+19,0.485,6.440919784479524e+19,0.40668049424763547
2.695312255098426e+19,0.49,6.424285184442292e+19,0.41955053017037147
2.718895602772237e+19,0.495,6.49952872921128e+19,0.4183219608757966
2.785628722884947e+19,0.5,6.5053791760994435e+19,0.4282038982630342
2.7660890461327356e+19,0.505,6.529205417914181e+19,0.42364864774255945
2.797074763749887e+19,0.51,6.5402772962254e+19,0.42766913955837427
2.844521024676259e+19,0.515,6.4917866548928315e+19,0.43817228998620217
2.9123443745586627e+19,0.52,6.545052973022537e+19,0.444968801102572
2.923343381184677e+19,0.525,6.555419717683735e+19,0.4459429765112888
2.9596745013778604e+19,0.53,6.577242731951258e+19,0.449987118006183
2.9779558524916232e+19,0.535,6.585735375119027e+19,0.45218273782186413
2.9674001232528413e+19,0.54,6.60858886547739e+19,0.4490217478581916
3.0157458207338803e+19,0.545,6.581809998141419e+19,0.45819399550966544
3.0165464441815822e+19,0.55,6.608470979228891e+19,0.4564666249822236
3.046673984029568e+19,0.555,6.624235047602466e+19,0.4599284237554738
