t,pohm,pss,psw,pdw_dt,prad_core,psol
0.075,2.4296650910492125e-10,0.0,0.0,499918.94208736543,165023.90315984306,-664942.8452472083
0.08,2188447.759736868,0.0,0.0,-16709.864161078185,168810.62599072425,2036346.997907222
0.085,2151408.2535545006,0.0,0.0,-376525.02650652936,170740.5311578965,2357192.7489031334
0.09,1655535.1881153686,0.0,0.0,59706.06073606822,170857.00075266266,1424972.1266266375
0.095,1531263.206142795,0.0,0.0,318156.57750260324,169240.62451776938,1043866.0041224225
0.1,1468805.9217314152,0.0,0.0,249262.10474247992,166082.65742216795,1053461.1595667673
0.105,1180279.5055080606,0.0,0.0,235580.30304501604,161690.99720943242,783008.2052536121
0.11,1073016.427997176,0.0,0.0,257598.63662698944,156323.92119346975,659093.8701767168
0.115,1121246.3355597204,0.0,0.0,289046.83461228304,150358.56490349805,681840.9360439393
0.12,1059599.0954407353,0.0,0.0,256023.9531784007,144052.83991995413,659522.3023423806
0.125,1130592.2269328865,-0.0,-0.0,105667.01608801338,137824.3125039768,887100.8983408964
0.13,1140063.8708184566,-0.0,-0.0,68005.02545498763,131946.61993071085,940112.2254327581
0.135,1247082.9257959325,-0.0,-0.0,23618.18570113877,126709.48944005732,1096755.2506547363
0.14,1911848.4606926742,1.4441781104324026e-10,7.220890552162013e-11,-436850.84365506115,122281.89109404523,2226417.41325369
0.145,2394372.9483064134,1300799.9999999995,650399.9999999998,-561484.0230878158,118921.65455176203,4788135.316842467
0.15,2284127.848596748,1063199.999999995,531599.9999999976,-210054.36075617326,116718.70460065293,3972263.504752261
0.155,1864150.21828912,1041599.9999999903,520799.99999999517,234950.1528674942,115768.6017065986,3075831.4637150127
0.16,1317420.12741017,950399.9999999889,475199.99999999447,774906.3793130011,116142.67243266657,1851971.0756644856
0.165,1121871.8247183184,1029600.000000001,514800.0000000005,903888.2135439297,117773.05116192467,1644610.5600124656
0.17,1062811.6401774366,999999.9999999885,499999.99999999424,801386.1118260567,120751.27203112714,1640674.2563202356
0.175,936848.0379550377,1003199.9999999997,501599.9999999998,670374.1109605387,124945.54157702834,1646328.38541747
0.18,908423.3726148336,982399.999999988,491199.999999994,556043.1758060688,130360.4443465205,1695619.7524622264
0.185,1044609.9673576702,997600.0000000006,498800.0000000003,421325.30509404116,136897.44953497997,1982787.2127286498
0.19,1026801.8822712023,988799.9999999978,494399.9999999989,478436.79601879464,144528.1288869021,1887036.9573655021
0.195,970151.3294789419,992799.9999999997,496399.9999999998,576352.1100701459,153142.8089447359,1729856.4104640593
0.2,938524.8863175514,976799.9999999952,488399.9999999976,613337.3022235783,162639.884879353,1627747.699214613
0.205,801998.2140025609,996800.0000000005,498400.00000000023,870760.3535086025,172957.0664193118,1253480.7940746474
0.21,695846.5368192684,984800.0000000006,492400.0000000003,975115.202736299,184002.76446505805,1013928.5696179122
0.215,610337.669152665,992799.9999999993,496399.99999999965,894999.1815483449,195546.53811666687,1008991.9494876522
0.22,582727.8588495742,975999.9999999965,487999.99999999825,870718.0204602196,207355.73732873274,968654.1010606167
0.225,598430.4810466677,999200.0000000019,499600.00000000093,854419.5468591392,219388.78020274502,1023422.1539847862
0.23,522400.8659895818,990400.0000000022,495200.0000000011,774578.543970438,231301.61525452987,1002120.7067646172
0.235,518374.75252364285,997600.0000000006,498800.0000000003,666355.7153922543,242793.8451022575,1105625.1920291318
0.24,555656.772203309,982400.0000000005,491200.00000000023,575925.7875460597,253528.02775005603,1199802.956907194
0.245,455479.81852529466,1004800.0000000006,502400.0000000003,678214.3421463271,263298.49169854744,1021166.984680421
0.25,464239.984228731,997600.0000000006,498800.0000000003,474657.97178376216,271763.87499552045,1214218.1374494492
0.255,455772.27191080176,1004800.0000000006,502400.0000000003,284695.9982258733,278637.00624851,1399639.2674364194
0.26,372072.90091213374,988800.0000000005,494400.00000000023,466688.70366430905,283660.75651370717,1104923.4407341182
0.265,403913.20565593283,1011200.0000000006,505600.0000000003,371778.42379957996,286653.722580453,1262281.0592759007
0.27,467152.95191188116,1003200.0000000006,501600.0000000003,240919.37552734735,287593.3442496081,1443440.2321349266
0.275,489626.3494588243,1012800.0000000006,506400.0000000003,178510.1233436056,286452.1273395562,1543864.0987756634
0.28,431776.76225158817,995200.0000000006,497600.0000000003,164862.60502448503,283330.0321548141,1476384.12507229
