t,pohm,pss,psw,pdw_dt,prad_core,psol
0.075,1.4340158836271317e-10,0.0,0.0,-251324.44312972613,172119.7175450171,79204.72558470917
0.08,1291646.6798293048,0.0,0.0,-74122.0617632777,172680.3277229549,1193088.4138696278
0.085,1024967.6068585942,0.0,0.0,10983.874329379709,171263.2659633713,842720.4665658432
0.09,874200.1691966393,0.0,0.0,47160.68479740852,168040.34642782467,658999.1379714061
0.095,787557.2395928042,0.0,0.0,97674.45032851268,163320.29557042546,526562.4936938661
0.1,804254.543344484,0.0,0.0,56567.17161893031,157412.2675843355,590275.1041412181
0.105,842600.8633986971,0.0,0.0,56082.3648004639,150698.41698433546,635820.0816138978
0.11,994192.3638094539,0.0,0.0,47667.2486529544,143562.87413649238,802962.2410200072
0.115,1001298.4386341278,0.0,0.0,127552.63275575,136424.54977094327,737321.2561074346
0.12,965740.6222781034,0.0,0.0,136415.6850912519,129619.69199017952,699705.245196672
0.125,1010841.294396423,-0.0,-0.0,102521.95469230643,123497.75780803716,784821.5818960795
0.13,967504.3948655464,-0.0,-0.0,101474.6083812964,118268.62827219313,747761.1582120568
0.135,979764.3417676818,-0.0,-0.0,81383.29068411073,114143.32393973244,784237.7271438387
0.14,961617.078353492,0.0,0.0,115297.67734660153,111252.60961337363,735066.7913935168
0.145,984542.4001159299,0.0,0.0,93422.69830727694,109597.81116487857,781521.8906437744
0.15,934824.6825973616,0.0,0.0,59128.44620781905,109137.21870294696,766559.0176865957
0.155,770010.8111044599,0.0,0.0,60144.22578572709,109784.96062478493,600081.6246939478
0.16,770001.6598263453,0.0,0.0,34516.12043842987,111374.62618490176,624110.9132030136
0.165,790052.5425593186,0.0,0.0,61118.27923557536,113757.69952101877,615176.5638027245
0.17,790951.7155387134,0.0,0.0,53090.26842262733,116673.72539405368,621187.7217220324
0.175,787619.3305369123,0.0,0.0,66212.92164309268,119947.24448619806,601459.1644076216
0.18,753363.8634557745,0.0,0.0,72592.03859326332,123404.67534829563,557367.1495142155
0.185,773064.4873509284,0.0,0.0,31804.741175112937,126856.74069190143,614403.005483914
0.19,744159.0725241808,0.0,0.0,103822.04366275668,130151.7748853097,510185.2539761143
0.195,652951.3821603054,0.0,0.0,103425.80977356333,133197.72326832823,416327.8491184138
0.2,677744.0703372512,0.0,0.0,-25633.099915280447,135912.06106952956,567465.109183002
0.205,658213.136548396,0.0,0.0,-29233.774898231484,138266.07867400543,549180.832772622
0.21,710634.5938835846,0.0,0.0,16906.746871691565,140238.393214778,553489.453797115
0.215,811208.7777319131,0.0,0.0,29270.10349894916,141902.42061302296,640036.253619941
0.22,771318.931468411,0.0,0.0,17533.580207875635,143247.62522574884,610537.7260347866
0.225,698132.4373500622,0.0,0.0,44928.4551955903,144342.8602392528,508861.1219152191
0.23,710525.8366765945,0.0,0.0,63112.698075350774,145286.40534390626,502126.7332573374
0.235,762040.4973205413,0.0,0.0,9840.577357500508,146104.01575854945,606095.9042044913
0.24,779693.5469526347,-0.0,-0.0,19513.66491575299,146944.8753880756,613235.0066488062
0.245,766954.8024121667,-0.0,-0.0,44614.79863274287,147795.03084086324,574544.9729385606
0.25,719432.0623189064,-0.0,-0.0,51698.95373541656,148782.9218748017,518950.1867086882
0.255,745310.4028705923,-0.0,-0.0,13383.467521159582,149914.04819800367,582012.8871514291
0.26,769676.246872604,-0.0,-0.0,25546.768580848577,151284.92340807518,592844.5548836803
0.265,748078.6146220895,-0.0,-0.0,62199.54214946989,152840.2232575985,533038.8492150212
0.27,701059.0343136588,-0.0,-0.0,41741.24131916358,154658.9957473668,504658.79724712844
0.275,736454.4543012244,-0.0,-0.0,3773.046471306961,156697.91859577602,575983.4892341414
0.28,769122.198761563,0.0,0.0,54862.38109144552,158929.37450112612,555330.4431689914
0.285,794310.5147629897,0.0,0.0,60192.46732895384,161313.07965081197,572804.967783224
0.29,807637.4849698085,0.0,0.0,11908.923248566682,163802.16115166846,631926.4005695733
0.295,756348.1884541648,0.0,0.0,43305.933230332244,166369.6632069425,546672.5920168901
0.3,823085.561226678,0.0,0.0,26022.497742589076,168865.10409465138,628197.9593894375
