R,Ti,TiErr,vTorr,vTorrErr
0.7421543233911115,702.2537994665416,24.15670615788896,39465.419906250696,990.1976138013774
0.7527751826782706,671.9974391556103,22.00528906385895,43927.65906292684,911.9159169679568
0.7645134336715957,712.7748368458859,22.809796484866915,42321.55837270892,928.5358124240053
0.7755405644480841,682.5384489341048,22.518978350083078,43598.113160366294,929.8095640572898
0.7870808148843704,863.53485947274,25.887538777984375,46622.93527741179,1001.9440296358447
0.7984103325957137,815.6573699056655,24.508918917917995,48728.80863690669,965.3001772620435
0.8088100550928565,794.9328370892376,21.15222738766054,46865.23186947185,840.9540543429671
0.8197465087455271,835.5889600673647,19.299686330922725,46690.56039183934,758.0772744414945
0.8418450940717132,887.3409030273071,18.42531691867741,46666.20700204599,709.5163039829922
0.853515964707998,922.3438768343882,17.455363545469698,47151.40081744689,666.9321788158143
0.8651699368003661,918.284870791679,16.648966530549313,49548.40569994359,640.3078160409772
0.8769226152009318,873.2169600666199,16.41228039868255,52929.3271401707,644.5308539889459
0.8891775049061794,1011.8998265610983,16.239502899809924,51831.440959167114,606.4581750138959
0.9009108397962446,893.4704131223189,16.060617045829872,57608.83937116908,630.5297108739701
0.9127068386570153,902.879717629727,17.318283504843695,61453.53491305879,678.1871572960024
0.9239598858102493,913.4513581549954,15.352227110689888,56314.01323346705,599.1615834764336
0.9423429577476361,964.9170620674995,15.439425797209841,57948.706731932434,592.9599876700071
0.9541373644219426,948.3379543285658,13.856150621271947,60645.560462961126,535.8853426266909
0.9653174450990305,978.5005019761804,14.119794923351927,63037.32171876513,541.3053743183884
0.9769999761748961,956.851381508701,13.381690301585051,63997.01900547656,517.7407763634985
0.988597194027525,987.064052196491,13.444670895141465,64200.361027632294,512.1008754046339
1.000246753608701,966.2721125329307,11.948994461539153,65945.34019853827,463.2057155176635
1.0112762739043275,934.8228814785149,11.768388838444675,65410.542720744685,461.02884014633815
1.0227844001236952,926.8457324197964,11.338740270450138,66285.10521494769,442.9895643656712
1.0343690323576,895.8311891103499,12.130434126963259,68585.97809382957,484.53444957704403
1.0473201730319326,978.4809136616291,11.318687417818072,66810.82620815375,440.0368964401389
1.0586490470184393,0.0,16.805567540713362,0.0,652.5608937729367
1.0704290358606514,0.0,23.474649278757212,0.0,958.3685950683328
1.0806108670287526,0.0,20.67586564427317,0.0,870.7806010524748
1.0927656556458032,0.0,19.160670001139145,0.0,815.8409688271017
1.1038721121645203,0.0,18.792864562544704,0.0,784.2058401215104
1.1143711595441406,0.0,16.75318398032217,0.0,682.1381219241092
1.1297344655927821,897.2750591393104,11.130843056113415,71854.1584379013,460.2051717126921
1.1400749047768275,888.410962720247,10.714063587501842,74697.83433342117,447.2747654805406
1.152271083342964,861.4372774562047,10.196391944338197,75425.84827026447,429.2350059666339
1.1624672086473922,865.3119228913721,9.50350381425202,76174.64244072083,401.906408141534
1.1735605805766431,857.4056374411775,9.28555804086572,75932.47724884718,396.4906018223031
1.1836155318883492,849.8292806615626,8.976859669589633,76282.64422674973,384.43505545013346
1.1955031897046935,856.7796755658836,8.691288198185326,76321.09088589526,373.09972688575135
1.2049053253874236,858.581992546903,8.974101632889472,76899.74411302854,386.70940908766033
1.2162444805256225,868.3918012699654,8.465029600551224,77006.60291408378,363.4477030857853
1.226469747234194,830.6629790634609,7.928875158992022,74860.65464127727,348.4176855784873
1.2375109777975644,860.7129899235553,7.381415402647518,75152.87351233828,323.4989557483727
1.248035936860904,852.3218936882159,7.191923677435055,71135.24144890068,317.64767182291996
1.2575417621083635,819.2884096838886,7.335081579711777,69556.06360283031,329.6470466197425
1.2683594859096494,810.317345703991,6.981495260930523,62760.35141194315,314.93639603703343
1.2782229340701567,778.2690386962145,7.115204924616318,57914.7323466263,323.06493819542646
1.289726166431072,698.4972600455806,6.9884304086095295,53839.36440025064,331.3121906466885
1.298903587029898,623.0369270403783,6.375478291738158,52655.80683516453,313.3084300668094
1.3089406159637642,580.876056624342,5.647158849656984,47046.623260604065,282.34106015409253
1.31889647279656,520.8783934497988,5.086430914962209,42032.1171561719,260.86857174900206
1.330887210364232,464.283143695897,4.396372850181018,38661.772894150155,232.33338690603966
1.3406648192991424,423.6974042205449,3.9173045718153174,30758.2193252484,210.2298618764875
1.3507835841864602,366.64182907468756,3.8560022462136234,29312.287906083642,214.92099207292938
1.3599811585172954,318.32936369919446,3.8651298522976645,25629.377806345678,220.26803390884834
1.3698855259634533,301.1487794781561,3.7161093420182962,21580.86348067421,213.17424532825618
1.380624169863249,224.62141144623146,4.081765148823836,17187.83921078595,241.78810794763052
1.3904011751062508,187.68293932341209,3.8246084351285807,13534.197320707935,233.02415992183032
1.4000705525858905,162.19378904525422,4.117299972856464,10589.422419783295,253.70459765900085
1.4100804303653078,119.31112764646238,4.669512462803487,8012.2752744437275,293.86175915670043
1.4187890849399816,107.94880096348462,4.735218737612501,7049.66948750294,305.5711292746407
1.428631657476326,101.58485523133065,5.947929984639791,9880.155975014191,385.4047494776708
1.4383862141559756,49.37714788404627,6.745765094879253,7586.522865961329,446.3069086734909
1.4488026868522559,46.339902895947,10.860407298093378,13191.204094091227,728.5011322363816
