t [s]
0.214383
0.21911
0.223897
0.228698
0.233434
0.238189
0.242999
0.247716
0.252444
0.25723
0.262031
0.266767
0.271522
0.276332
0.281049
0.285777
0.290564
0.295364
0.3001
0.304855
0.309666
0.314382
0.31911
0.323897
0.328698
0.333434
0.338188
0.342999
0.347716
0.352443
0.35723
0.362031
0.366767
0.371522
0.376332
0.381049
0.385777
0.390564
0.395364
0.4001
0.404855
0.409665
