t
0.404855
0.409665
0.414382
0.41911
0.423897
0.428697
0.433434
0.438188
0.442999
0.447716
0.452444
0.45723
0.462031
0.466767
0.471522
0.476332
0.481049
0.485777
0.490564
0.495364
0.5001
0.504855
0.509665
0.514382
0.51911
0.523897
0.528697
0.533434
0.538188
0.542999
0.547716
0.552444
0.55723
0.562031
0.566767
0.571522
0.576332
0.581049
0.585777
0.590564
0.595364
0.6001
